group,lang,path,label,bodyWords,proseWords,proseChars,sentences,uniqueSentences,dupSentenceRatio,faqDetails,faqLd,nnMasked,nnRaw,nnPath,templateShare50,templateShare10,templateSentShare,vsReuseFromTld
tld,en,/tld/college,.college,2317,649,3925,49,39,0.204,3,3,0.243,0.14,/tld/university,0.233,0.285,0.359,
tld,zh,/tld/college,.college,2764,1090,1747,44,36,0.182,3,3,0.293,0.211,/tld/university,0.285,0.338,0.417,
tld,en,/tld/com,.com,2141,453,2406,42,35,0.167,3,3,0.184,0.124,/tld/us,0.29,0.304,0.4,
tld,zh,/tld/com,.com,2539,840,1043,37,33,0.108,3,3,0.226,0.168,/tld/cn,0.318,0.336,0.485,
tld,en,/tld/community,.community,2245,569,3116,48,38,0.208,3,3,0.2,0.123,/tld/education,0.261,0.31,0.395,
tld,zh,/tld/community,.community,2634,950,1472,45,37,0.178,3,3,0.267,0.182,/tld/market,0.332,0.393,0.432,
tld,en,/tld/company,.company,2181,507,2753,39,33,0.154,3,3,0.181,0.12,/tld/design,0.287,0.297,0.424,
tld,zh,/tld/company,.company,2556,876,1380,42,35,0.167,3,3,0.233,0.163,/tld/ltd,0.329,0.333,0.429,
tld,en,/tld/computer,.computer,2259,591,3324,45,36,0.2,3,3,0.199,0.111,/tld/mortgage,0.265,0.306,0.389,
tld,zh,/tld/computer,.computer,2650,976,1584,42,35,0.167,3,3,0.279,0.173,/tld/mortgage,0.335,0.373,0.429,
tld,en,/tld/condos,.condos,2329,661,3680,51,40,0.216,3,3,0.268,0.169,/tld/domains,0.236,0.293,0.35,
tld,zh,/tld/condos,.condos,2706,1032,1644,44,36,0.182,3,3,0.349,0.234,/tld/domains,0.306,0.366,0.417,
tld,en,/tld/construction,.construction,2269,593,3429,48,38,0.208,3,3,0.229,0.148,/tld/engineering,0.254,0.301,0.395,
tld,zh,/tld/construction,.construction,2655,966,1629,45,37,0.178,3,3,0.278,0.191,/tld/apartments,0.329,0.374,0.432,
tld,en,/tld/consulting,.consulting,2236,563,3189,48,38,0.208,3,3,0.232,0.133,/tld/marketing,0.266,0.31,0.395,
tld,zh,/tld/consulting,.consulting,2593,912,1540,45,37,0.178,3,3,0.279,0.214,/tld/marketing,0.342,0.391,0.432,
tld,en,/tld/contractors,.contractors,2231,559,3348,48,38,0.208,3,3,0.26,0.15,/tld/management,0.271,0.306,0.395,
tld,zh,/tld/contractors,.contractors,2630,942,1650,43,36,0.163,3,3,0.335,0.215,/tld/management,0.34,0.384,0.444,
tld,en,/tld/cooking,.cooking,2263,593,3286,46,38,0.174,3,3,0.248,0.198,/tld/fishing,0.253,0.288,0.395,
tld,zh,/tld/cooking,.cooking,2616,938,1489,43,36,0.163,3,3,0.313,0.271,/tld/fishing,0.3,0.352,0.444,
tld,en,/tld/cool,.cool,2191,519,2923,42,35,0.167,3,3,0.178,0.116,/tld/space,0.27,0.282,0.429,
tld,zh,/tld/cool,.cool,2605,924,1339,45,37,0.178,3,3,0.23,0.172,/tld/today,0.321,0.349,0.432,
tld,en,/tld/coupons,.coupons,2251,583,3292,45,36,0.2,3,3,0.227,0.126,/tld/management,0.254,0.274,0.389,
tld,zh,/tld/coupons,.coupons,2622,948,1492,42,35,0.167,3,3,0.317,0.202,/tld/parts,0.333,0.36,0.429,
tld,en,/tld/courses,.courses,2253,579,3335,47,38,0.191,3,3,0.227,0.179,/tld/study,0.258,0.279,0.368,
tld,zh,/tld/courses,.courses,2650,970,1570,42,35,0.167,3,3,0.329,0.253,/tld/study,0.315,0.34,0.429,
tld,en,/tld/credit,.credit,2245,577,3182,47,38,0.191,3,3,0.258,0.134,/tld/loans,0.267,0.311,0.368,
tld,zh,/tld/credit,.credit,2640,966,1571,42,35,0.167,3,3,0.303,0.195,/tld/loans,0.326,0.362,0.429,
tld,en,/tld/cricket,.cricket,2303,633,3494,50,40,0.2,3,3,0.352,0.206,/tld/basketball,0.238,0.269,0.375,
tld,zh,/tld/cricket,.cricket,2698,1020,1583,45,37,0.178,3,3,0.387,0.265,/tld/basketball,0.28,0.308,0.432,
tld,en,/tld/cruises,.cruises,2241,571,3194,46,37,0.196,3,3,0.241,0.134,/tld/clothing,0.264,0.298,0.405,
tld,zh,/tld/cruises,.cruises,2623,944,1516,45,37,0.178,3,3,0.309,0.191,/tld/clothing,0.325,0.369,0.432,
tld,en,/tld/cyou,.cyou,2331,663,3426,49,39,0.204,3,3,0.181,0.141,/tld/bond,0.233,0.263,0.359,
tld,zh,/tld/cyou,.cyou,2732,1058,1535,44,36,0.182,3,3,0.245,0.178,/tld/bond,0.3,0.346,0.417,
tld,en,/tld/cz,.cz,2317,643,3610,49,38,0.224,3,3,0.357,0.217,/tld/pt,0.231,0.306,0.368,
tld,zh,/tld/cz,.cz,2752,1072,1454,50,39,0.22,3,3,0.43,0.323,/tld/nz,0.264,0.449,0.385,
tld,en,/tld/dad,.dad,2255,587,3043,49,38,0.224,3,3,0.21,0.129,/tld/mom,0.252,0.276,0.368,
tld,zh,/tld/dad,.dad,2634,960,1337,46,37,0.196,3,3,0.244,0.16,/tld/mom,0.305,0.333,0.405,
tld,en,/tld/dance,.dance,2306,637,3497,54,42,0.222,3,3,0.235,0.139,/tld/soccer,0.238,0.279,0.357,
tld,zh,/tld/dance,.dance,2721,1044,1492,47,38,0.191,3,3,0.289,0.181,/tld/soccer,0.318,0.357,0.421,
tld,en,/tld/dating,.dating,2282,609,3438,48,39,0.188,3,3,0.207,0.124,/tld/clothing,0.25,0.288,0.385,
tld,zh,/tld/dating,.dating,2664,984,1515,45,37,0.178,3,3,0.279,0.205,/tld/clothing,0.325,0.381,0.432,
tld,en,/tld/day,.day,2340,669,3561,49,39,0.204,3,3,0.203,0.159,/tld/meme,0.231,0.28,0.359,
tld,zh,/tld/day,.day,2741,1064,1649,44,36,0.182,3,3,0.296,0.227,/tld/meme,0.275,0.314,0.417,
tld,en,/tld/de,.de,2298,615,3421,47,37,0.213,3,3,0.166,0.131,/tld/uk,0.178,0.21,0.27,
tld,zh,/tld/de,.de,2757,1068,1536,44,36,0.182,3,3,0.285,0.204,/tld/uk,0.253,0.327,0.417,
tld,en,/tld/deals,.deals,2253,579,3176,46,37,0.196,3,3,0.253,0.179,/tld/auction,0.255,0.288,0.405,
tld,zh,/tld/deals,.deals,2654,972,1428,43,36,0.163,3,3,0.329,0.26,/tld/discount,0.323,0.365,0.444,
tld,en,/tld/degree,.degree,2219,551,3310,47,38,0.191,3,3,0.193,0.117,/tld/church,0.275,0.294,0.368,
tld,zh,/tld/degree,.degree,2594,920,1515,42,35,0.167,3,3,0.242,0.159,/tld/jewelry,0.327,0.369,0.429,
tld,en,/tld/delivery,.delivery,2221,553,3208,47,37,0.213,3,3,0.203,0.127,/tld/rent,0.257,0.296,0.378,
tld,zh,/tld/delivery,.delivery,2602,928,1491,42,35,0.167,3,3,0.289,0.176,/tld/rent,0.341,0.377,0.429,
tld,en,/tld/dental,.dental,2200,529,3022,43,35,0.186,3,3,0.175,0.11,/tld/yoga,0.276,0.276,0.4,
tld,zh,/tld/dental,.dental,2645,968,1422,42,35,0.167,3,3,0.214,0.172,/tld/photography,0.305,0.328,0.429,
tld,en,/tld/dentist,.dentist,2242,573,3330,46,38,0.174,3,3,0.269,0.158,/tld/attorney,0.257,0.314,0.395,
